Model,Label,Candidate,Mean Oddr_label,Mean Oddr,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D,original_fwp,intervention_fwp
1,remove,remove,-3.8635,6.7760,-0.4617,1.1829,3.2179,2.0350,1.7518,0.0000,0.1727
1,remove,append,-3.8635,6.7760,0.2670,1.1829,3.2179,2.0350,-1.2996,0.0000,0.1727
1,append,remove,-3.4555,8.6941,0.5019,1.9330,2.9794,1.0464,-2.0604,0.1204,0.0569
1,append,append,-3.4555,8.6941,-0.4369,1.9330,2.9794,1.0464,1.5064,0.1204,0.0569
4,remove,remove,-3.8665,5.9778,-0.4616,1.0674,3.3028,2.2354,1.7167,0.0144,0.1295
4,remove,append,-3.8665,5.9778,0.3461,1.0674,3.3028,2.2354,-1.5480,0.0144,0.1295
4,append,remove,-5.4911,9.9684,0.5773,1.8280,3.0114,1.1834,-2.2790,0.0167,0.0268
4,append,append,-5.4911,9.9684,-0.6158,1.8280,3.0114,1.1834,2.3382,0.0167,0.0268
