Model,Label,Candidate,Mean Oddr_label,Mean Oddr,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D,original_fwp,intervention_fwp
1,remove,remove,-3.2309,6.6400,-0.3528,1.3680,3.0961,1.7281,1.3406,0.0072,0.1151
1,remove,append,-3.2309,6.6400,0.1997,1.3680,3.0961,1.7281,-1.0157,0.0072,0.1151
1,append,remove,-3.4589,9.0600,0.4718,1.9735,2.9391,0.9655,-1.9601,0.1137,0.0602
1,append,append,-3.4589,9.0600,-0.4268,1.9735,2.9391,0.9655,1.5009,0.1137,0.0602
4,remove,remove,-3.3176,5.8063,-0.3811,1.1413,3.3179,2.1767,1.4273,0.0216,0.1223
4,remove,append,-3.3176,5.8063,0.2709,1.1413,3.3179,2.1767,-1.3026,0.0216,0.1223
4,append,remove,-5.6244,10.3857,0.5638,1.9542,3.0400,1.0858,-2.1862,0.0201,0.0502
4,append,append,-5.6244,10.3857,-0.6076,1.9542,3.0400,1.0858,2.2778,0.0201,0.0502
