Model,Label,Candidate,Mean Oddr_label,Mean Oddr,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D,original_fwp,intervention_fwp
1,remove,remove,-7.7356,5.0400,-0.7012,1.3468,2.5680,1.2211,3.6853,0.0144,0.0863
1,remove,append,-7.7356,5.0400,0.6312,1.3468,2.5680,1.2211,-3.2387,0.0144,0.0863
1,append,remove,-3.2847,6.9547,0.4950,1.1099,2.1180,1.0080,-2.1267,0.1438,0.1839
1,append,append,-3.2847,6.9547,-0.5211,1.1099,2.1180,1.0080,2.2860,0.1438,0.1839
4,remove,remove,-6.8403,4.8238,-0.7211,1.0284,2.5514,1.5230,4.1308,0.0360,0.1223
4,remove,append,-6.8403,4.8238,0.6291,1.0284,2.5514,1.5230,-3.1596,0.0360,0.1223
4,append,remove,-3.8399,6.6899,0.5727,1.2231,2.1387,0.9157,-2.5303,0.0602,0.0736
4,append,append,-3.8399,6.6899,-0.5905,1.2231,2.1387,0.9157,2.5134,0.0602,0.0736
